id,name,meaning,gender,origin,PeoplesCount,WhenPeoplesCount,Source
28281,aahan,Dawn / Morning,Male,Hindi,236,04.07.2016 13:29:36,myData.biz
28282,aala,She who hunts and heals,Female,American,2000,04.07.2016 13:29:43,myData.biz
28283,aaleahya,Sunshine,Female,Indian,17,04.07.2016 13:29:51,myData.biz
28284,aaleyah,The greatest gift of God.,Female,Arabic,172,04.07.2016 13:30:00,myData.biz
28285,aalijah,The lord is god. Variant of Elijah.,Female,Hebrew,64,04.07.2016 13:30:08,myData.biz
28286,aaliyah,Ascender,Female,Arabic,22000,04.07.2016 13:30:16,myData.biz
28287,aaliyah,Highly exalted.,Female,Hebrew,22000,04.07.2016 13:30:23,myData.biz
28288,aamori,,Female,African,33,04.07.2016 13:30:32,myData.biz
28289,aanjay,Unconquerable,Female,Indian,19,04.07.2016 13:30:41,myData.biz
28290,aaralyn,With song,Female,American,216,04.07.2016 13:30:49,myData.biz
28291,aaric,Variant of Aric meaning rule with mercy.,Male,English,395,04.07.2016 13:30:55,myData.biz
28292,aarika,"""Alternate Spelling: Erika, Erica, Ericka.""",Female,Unknown,768,04.07.2016 13:31:03,myData.biz
28293,aaron,high mountain,Male,Hebrew,555000,04.07.2016 13:31:13,myData.biz
28294,aaron,High mountain: Lofty or inspired. In the bible Moses' brother Aaron was Israel's first high priest and is remembered for his staff which blossomed miraculously. Popular in English speaking countries since the Protestant Reformation.,Male,Hebrew,555000,04.07.2016 13:31:19,myData.biz
28295,aarshiya,Heavenly,Female,Unknown,29,04.07.2016 13:31:29,myData.biz
28296,aart,like an eagle,Male,Anglo,4000,04.07.2016 13:31:35,myData.biz
28297,aart,Like an eagle,Male,Anglo-Saxon,4000,04.07.2016 13:31:43,myData.biz
28298,aarthi,Way of offering prayer to god,Female,Indian,3000,04.07.2016 13:31:51,myData.biz
28299,aarush,First ray of sun.,Male,India,1000,04.07.2016 13:31:59,myData.biz
28300,aarushi,First ray of the sun.,Female,Indian,2000,04.07.2016 13:32:07,myData.biz
28301,aase,tree-covered mountain AEGILEIF,Female,Norse,3000,04.07.2016 13:32:16,myData.biz
28302,aashish,Blessing.,Male,Hindu,10000,04.07.2016 13:32:23,myData.biz
28303,aashka,Blessing,Female,Indian,377,04.07.2016 13:32:31,myData.biz
28304,aasiya,"""derived from the arabic verb, to abound, and means abundant, flourishing, thriving, prosperous""",Female,Unknown,0,04.07.2016 13:32:39,myData.biz
28305,aaylah,Light bearer,Female,Unknown,17,04.07.2016 13:32:48,myData.biz
28306,abagail,Gives Joy.,Female,Hebrew,1000,04.07.2016 13:32:56,myData.biz
28307,abaigael,Gives joy,Female,Hebrew,23,04.07.2016 13:33:04,myData.biz
28308,abaigeal,Gives joy,Female,Hebrew,114,04.07.2016 13:33:12,myData.biz
28309,aballach,father of Modron,Male,Arthurian,5,04.07.2016 13:33:20,myData.biz
28310,aballach,Father of Modron,Male,Arthurian Legend,5,04.07.2016 13:33:27,myData.biz
28311,aban,old Arabic name; meaning unknown,Male,Arabic,7000,04.07.2016 13:33:35,myData.biz
28312,abantiades,"descendant of Abas ABAS,ABASANTIS",Male,Latin,2,04.07.2016 13:33:43,myData.biz
28313,abarrane,Feminine form of Abraham father of many,Female,Hebrew,13,04.07.2016 13:33:51,myData.biz
28314,abarrane,"feminine form of Abraham, &quot;father of many.&quot;Variant, Abame, exists.",Female,Hebrew,13,04.07.2016 13:33:59,myData.biz
28315,abarrane,"Feminine form of Abraham, from Hebrew.&quot;Father of many.&quot;",Female,Basque,13,04.07.2016 13:34:09,myData.biz
28316,abarron,Father of a multitude,Male,Hebrew,56,04.07.2016 13:34:16,myData.biz
28317,abasi,stern,Male,Egyptian,3000,04.07.2016 13:34:24,myData.biz
28318,abasi,Swahili name meaning &quot;stern.&quot;,Male,African,3000,04.07.2016 13:34:31,myData.biz
28319,abayomi,brings joy,Male,Egyptian,0,04.07.2016 13:34:39,myData.biz
28320,abayomi,Of uncertain African origin.Means &quot;born to bring me joy.&quot;,Male,African,0,04.07.2016 13:34:47,myData.biz
28321,abba,Father,Male,Arabic,23000,04.07.2016 13:34:55,myData.biz
28322,abba,Ghanaian name for females born on Thursday.,Female,African,23000,04.07.2016 13:35:03,myData.biz
28323,abban,Abbot,Male,Irish,1000,04.07.2016 13:35:11,myData.biz
28324,abban,"abbot ABRACHAM, BRAM",Male,Irish,1000,04.07.2016 13:35:19,myData.biz
28325,abbas,Lion,Male,Arabic,162000,04.07.2016 13:35:27,myData.biz
28326,abbey,My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.,Female,Hebrew,100000,04.07.2016 13:35:36,myData.biz
28327,abbie,"""Gives joy, My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.""",Female,Hebrew,46000,04.07.2016 13:35:43,myData.biz
28328,abbigale,,Female,Unknown,346,04.07.2016 13:35:52,myData.biz
28329,abboid,abbey father,Male,Gaelic,2,04.07.2016 13:35:59,myData.biz
28330,abbot,Abbey father,Male,English,8000,04.07.2016 13:36:07,myData.biz
28331,abbot,Father,Male,Hebrew,8000,04.07.2016 13:36:15,myData.biz
28332,abbotson,Son of Abbot,Male,Hebrew,49,04.07.2016 13:36:24,myData.biz
28333,abbott,Abbey father,Male,English,179000,04.07.2016 13:36:33,myData.biz
28334,abbott,Father,Male,Hebrew,179000,04.07.2016 13:36:39,myData.biz
28335,abbud,worshipper,Male,Arabic,975,04.07.2016 13:36:47,myData.biz
28336,abbudin,worshippers,Male,Arabic,15,04.07.2016 13:36:57,myData.biz
28337,abby,My father rejoices. Biblical: the name of King David's third wife described as good in discretion and beautiful in form.,Female,Hebrew,156000,04.07.2016 13:37:03,myData.biz
28338,abd al alim,Servant of the all knowing,Male,Arabic,19,04.07.2016 13:37:11,myData.biz
28339,abd al bari,Servant of Allah,Male,Arabic,11,04.07.2016 13:37:19,myData.biz
