ID,Name,Sex,PeoplesCount,WhenPeoplesCount,Source
19903,аалия,Ж,13,23.06.2016 13:39:41,myData.biz
19904,аанжелла,Ж,0,23.06.2016 13:39:46,myData.biz
19905,аба,Ж,1000,23.06.2016 13:39:55,myData.biz
19906,абав,Ж,0,23.06.2016 13:40:02,myData.biz
19907,абам,Ж,32,23.06.2016 13:40:11,myData.biz
19908,абаханум,Ж,4,23.06.2016 13:40:19,myData.biz
19909,абаш,Ж,125,23.06.2016 13:40:27,myData.biz
19910,аббаза,Ж,3,23.06.2016 13:40:34,myData.biz
19911,абгюль,Ж,0,23.06.2016 13:40:42,myData.biz
19912,абдужалия,Ж,0,23.06.2016 13:40:50,myData.biz
19913,абдулния,Ж,1,23.06.2016 13:40:58,myData.biz
19914,абдулпетта,Ж,2,23.06.2016 13:41:07,myData.biz
19915,абдулька,Ж,5,23.06.2016 13:41:14,myData.biz
19916,абдупатта,Ж,0,23.06.2016 13:41:23,myData.biz
19917,абдурасуль,Ж,1,23.06.2016 13:41:30,myData.biz
19918,абдурефи,Ж,24,23.06.2016 13:41:40,myData.biz
19919,абдурома,Ж,3,23.06.2016 13:41:47,myData.biz
19920,абдюль,Ж,11,23.06.2016 13:41:54,myData.biz
19921,абелина,Ж,30,23.06.2016 13:42:03,myData.biz
19922,абель,Ж,892,23.06.2016 13:42:11,myData.biz
19923,абибат,Ж,2,23.06.2016 13:42:18,myData.biz
19924,абигейль,Ж,0,23.06.2016 13:42:26,myData.biz
19925,абигель,Ж,48,23.06.2016 13:42:35,myData.biz
19926,абика,Ж,62,23.06.2016 13:42:43,myData.biz
19927,абилфетта,Ж,3,23.06.2016 13:42:53,myData.biz
19928,аблялиль,Ж,2,23.06.2016 13:42:58,myData.biz
19929,абрагина,Ж,36,23.06.2016 13:43:07,myData.biz
19930,абрамия,Ж,39,23.06.2016 13:43:16,myData.biz
19931,абраша,Ж,71,23.06.2016 13:43:23,myData.biz
19932,абрииа,Ж,0,23.06.2016 13:43:30,myData.biz
19933,абуватфа,Ж,7,23.06.2016 13:43:39,myData.biz
19934,абузарь,Ж,0,23.06.2016 13:43:46,myData.biz
19935,абульфаза,Ж,1,23.06.2016 13:43:54,myData.biz
19936,абуся,Ж,0,23.06.2016 13:44:02,myData.biz
19937,абута,Ж,2,23.06.2016 13:44:10,myData.biz
19938,абутаима,Ж,2,23.06.2016 13:44:18,myData.biz
19939,авагея,Ж,4,23.06.2016 13:44:26,myData.biz
19940,аванда,Ж,18,23.06.2016 13:44:35,myData.biz
19941,аванна,Ж,10,23.06.2016 13:44:43,myData.biz
